"Watercourse
Crossing ID","PXID","KP (Rev 5.0)","Waterbody Name/FWMIS Waterbody ID Number (FWMIS 2014)/ Stream Order at Crossing Site","Classification (Alberta)","Field UTM Coordinates (NAD 83)","Easting","Northing","longitude","latitude","Map","Fish Species Captured or Observed (Previously Documented – FWMIS)","Sensitivity Rating","Provincial RAP (AESRD)","Least Risk Biological Window Proposed","Rationale to Support LRBW Proposed if different from Provincial RAP","Planned Instream Construction Timing","Riparian Habitat Composition & Functionality","Vegetation Type","Stage","Apparent Condition","Project Proposed Primary","Project Proposed Contingency","Project Proposed Primary","Navigability Status","Site-Specific Comments","Reclamation Type","Can all of DFO's Measures to Avoid Harm be implemented for the Primary Pipeline Construction Method?"
"AB-90","W137.3","150.82","Unnamed tributary to Chip Lake/ 472063/ 1","Class C (unmapped)","11","615621","5939833","-115.2529788","53.59456329","Map","None (none)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","L","G","NA","Open","Isolated trenched","Open cut if dry or frozen to bottom","Clear span bridge or Type 3 culvert","Class 1 Non- Navigable","QAES-led fish salvage required if water present when isolated trenched construction occurs. Centre of the proposed pipeline corridor parallels watercourse.","Standard procedures and Type D.","Yes"
"AB-91NAC","W138.3","151.03","Unnamed tributary to Chip Lake/ 24396/ 3","Class C","11","615403","5939829","-115.2562726","53.59457539","Map","TBD (none)","High (Red)","April 16 to June 30","July 1 to April 15","Same as Provincial RAP.","Summer 2018","M","_","_","_","Isolated trenched; fish salvage and water quality monitoring to be determined by Environmental Inspector in consultation with the QAES at the time of construction as no field visit was completed","Open cut if dry or frozen to bottom","Clear span bridge","Potentially Navigable","No access permission - no field visit completed. Site inherits closest flowing waterbody class and RAP until an assessment is completed.","TBD","Yes. If required, an isolated trenched pipeline crossing method will be used inside the precautionary LRBW assigned."
"AB-91a","W139.3","153.25","Unnamed NCD/471506/1","NCD","11","613246","5939539","-115.2889538","53.59244028","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-91b","W140.5","154.2","Unnamed NCD/471561/1","NCD","11","612302","5939584","-115.3031937","53.59304764","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-92","W141.2","155.46","Unnamed tributary to Chip Lake/ 24397/ 3","Class C (unmapped)","11","611037","5939575","-115.3223011","53.59323623","Map","BRST and FTMN (BRST and FTMN)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Existing crossing, clear span bridge, Type 3 culvert or Type 5 logfill/swamp mat","Class 2 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted in LSA. Steep, erodible and unstable banks at the centre of the proposed pipeline corridor.","Standard procedures and Type C.","Yes"
"AB-93","W142.3","156.02","Unnamed tributary to Chip Lake/ 24398/ 2","Class C","11","610483","5939555","-115.3306749","53.59317357","Map","BRST and FTMN (BRST and FTMN)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Existing crossing or clear span bridge","Class 2 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted in LSA.","Standard procedures and Type F.","Yes"
"AB-94","W143.3","156.95","Unnamed Wetland/ 472198/ 2","Wetland","11","609549","5939522","-115.3447921","53.59307308","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-95","W144.2","157.83","Unnamed NCD/ 471694/ 1","NCD","11","608688","5939477","-115.357811","53.59284796","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-96","W145.3","158.24","Unnamed NCD/ 472782/ 1","NCD","11","608280","5939534","-115.363953","53.59344453","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-97","W146.3","158.53","Unnamed NCD/ 473321/ 2","NCD","11","607993","5939575","-115.3682733","53.59387211","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-98","W147.1","158.64","Unnamed tributary to Chip Lake/ no FWMIS ID","Class C (unmapped)","11","607887","5939589","-115.3698693","53.59401972","Map","BRST (BRST)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","L","S","Shr","Intact","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Clear span bridge or Type 3 culvert","Class 2 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Centre of the proposed pipeline corridor parallels watercourse. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type D.","Yes"
"AB-99","W148.2","158.77","Unnamed Wetland/ no FWMIS ID","Wetland","11","607759","5939607","-115.3717963","53.59420777","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-100","W149.4","161.27","Unnamed Wetland/ 24732/ 2","Wetland","11","605277","5939955","-115.4091649","53.59783889","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-101RM","W150.4","163.11","Unnamed tributary to Chip Lake/ 24731/ 3","Class C","11","603517","5940132","-115.4356904","53.5997798","Map","NRPK and cyprinid spp. (none)","High (Red)","April 16 to June 30","July 1 to April 15","Same as Provincial RAP.","Summer 2018","M","G","NA","Open","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Existing crossing or clear span bridge","Class 3 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted within LSA for methods of assessment at this site see Section 3.3.1 of this supplemental report. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type D.","Yes. An isolated trenched pipeline crossing method would occur within the LRBW (outside the RAP)."
"AB-102RM","W151.2","163.29","Unnamed NCD/ 471352/ 1","NCD","11","603341","5940129","-115.43835","53.59978757","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential. For methods of assessment at this site see Section 3.3.1 of this supplemental report.","Standard procedures and Type A.","Yes"
"AB-103","W152.3","164.59","Unnamed NCD/ 25585/ 2","NCD","11","602097","5940357","-115.4570666","53.60208001","Map","None (LNSC)","Low (Green)","None","Open","N/A","July 2018 to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","QAES-led fish salvage required if water is present when isolated trenched construction occurs.","Standard procedures and Type A.","Yes"
"AB-104","W153.3","165.12","Unnamed NCD/ 471431/ 1","NCD","11","601568","5940376","-115.4650518","53.60235352","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-105","W154.3","166","Unnamed NCD/ 471070/ 1","NCD","11","600687","5940410","-115.4783497","53.60282902","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-106","W155.4","167.23","Unnamed tributary to Chip Lake/ 24399/ 3","Class C","11","599465","5940437","-115.4968018","53.60330498","Map","BRST and WHSC (BRST and WHSC)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","H","M","MF","Intact","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Clear span bridge","Class 3 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Centre of the proposed pipeline corridor parallels watercourse. Steep, erodible and unstable banks at the centre of the proposed pipeline corridor.","Standard procedures and Type F.","Yes"
"AB-107","W156.4","169.3","Unnamed NCD/ 470672/ 1","NCD","11","597396","5940533","-115.5280288","53.6045562","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-108","W157.4","169.93","Unnamed Wetland/ 26295/ 1","Wetland","11","596772","5940557","-115.5374486","53.60488746","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-109","W158.4","170.43","Unnamed Wetland/ 471488/ 1","Wetland","11","596272","5940576","-115.5449967","53.60515028","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-110","W159.4","170.89","Unnamed Wetland/ 470796/ 1","Wetland","11","595813","5940593","-115.5519262","53.60538716","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-111","W160.5","172.66","Little Brule Creek/ 959/ 3","Class C","11","594070","5940813","-115.5781936","53.60767983","Map","ARGR and WHSC (ARGR, BNTR, NRPK, PRDC and WHSC)","High (Red)","September 1 to June 30","July 1 to August 31","Same as Provincial RAP.","July to August 2018","M","C","MF","Intact","Isolated trenched with fish salvage and water quality monitoring","N/A","Existing crossing or clear span bridge","Potentially Navigable","Beaver activity noted in LSA (breach may be needed if trenched construction is required). Alignment should be made perpendicular to the watercourse and a site-specific bank reclamation plan may be needed. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type F.","Yes. An isolated trenched pipeline crossing method would occur within the LRBW (outside the RAP)."
"AB-112","W161.4","174.84","Unnamed Wetland/ 470641/ 1","Wetland","11","591889","5940842","-115.6111387","53.60832744","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-113","W162.4","176.46","Unnamed Wetland/ 470941/ 1","Wetland","11","590263","5940793","-115.6357214","53.60816977","Map","BRST (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","M","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Refer to Wetland Survey and Mitigation Plan","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted in LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-114","W163.5","177.9","Unnamed tributary to Brule Creek/ 24401/ 1","Class C (unmapped)","11","588842","5940735","-115.6572091","53.60789145","Map","BRST and WHSC (BRST)","Low (Green)","September 1 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","H","M","MF","Intact","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Existing crossing","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted in LSA (breach may be needed if trenched construction is required). Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type C.","Yes"
"AB-115","W164.3","179.8","Unnamed Wetland/ no FWMIS ID","Wetland","11","586951","5940890","-115.6857388","53.60960152","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-116","W165.4","180","Brule Creek/ 202/ 3","Class C","11","586745","5940906","-115.6888471","53.60977945","Map","WHSC (BRST, LNSC and WHSC)","High (Red)","September 1 to June 30","July 1 to August 31","Same as Provincial RAP.","Fall 2018","L","G","NA","Open","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Existing crossing or clear span bridge","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted in LSA (breach may be needed if trenched construction is required). The proposed pipeline crossing occurs at a meander bend. Steep, erodible and unstable banks at the proposed pipeline crossing.","Standard procedures and Type E.","No. Measures to avoid harm will not be met for the primary isolated trenched pipeline crossing method because the construction timing is outside the LRBW."
"AB-117","W166.5","184.24","Lobstick River/ 2110/ 5","Class C","11","582523","5941157","-115.7525792","53.61271705","Map","LKCH, TRPR, WHSC and BRST (BURB, LKCH, LNSC, NRPK, TRPR and WHSC)","High (Red)","September 1 to June 30","July 1 to August 31","Same as Provincial RAP.","Fall 2018","M","G","NA","Open","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Existing crossing or clear span bridge","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Steep, erodible and unstable banks at the centre of the proposed pipeline corridor.","Standard procedures and Type F.","No. Measures to avoid harm will not be met for the primary isolated trenched pipeline crossing method because the construction timing is outside the LRBW."
"AB-118","W169.3","187.92","Unnamed tributary to Lobstick River/ 470098/ 1","Class C (unmapped)","11","579018","5941508","-115.805459","53.61641174","Map","BRST (none)","Low (Green)","September 1 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","Fall 2018","M","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Existing crossing or clear span bridge","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted within LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type D.","Yes"
"AB-119","W170.5","192.02","Carrot Creek/ 273/ 4","Class C","11","574931","5941258","-115.86729","53.61476567","Map","LKCH, LNSC, NRPK, SPSC, TRPR and WHSC (ARGR, LKCH, LNDC, LNSC, MNWH, NRPK, SPSC, SPSH, BRST, FTMN, TRPR and WHSC)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","July to August 2018","M","G","NA","Open","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Existing crossing or clear span bridge","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs.","Standard procedures and Type F.","Yes. An isolated trenched pipeline crossing method will occur inside the LRBW."
"AB-120","W171.4","194.44","Unnamed NCD/ 470113/ 1","NCD","11","572511","5941297","-115.9038559","53.61545674","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert and Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-121","W172.4","195.8","Unnamed NCD/ no FWMIS ID","NCD","11","571178","5941213","-115.924022","53.61488467","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-122","W173.4","196.06","Unnamed NCD/ 470102/ 1","NCD","11","570928","5941163","-115.9278118","53.61446923","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-123","W174.4","197.72","Unnamed tributary to January Creek/ 24421/ 2","Class C (unmapped)","11","569427","5940477","-115.9506504","53.60850525","Map","BRST (none)","Low (Green)","September 1 to July 15","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Existing crossing or clear span bridge","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted in LSA (breach may be needed if trenched construction is required). Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type C.","Yes"
"AB-124","W175.3","198.75","Unnamed tributary to January Creek/ 471040/ 2","Class C (unmapped)","11","568564","5939915","-115.9638155","53.60356817","Map","BRST (none)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","July 2018 to October 2019","L","G","NA","Open","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Existing crossing","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted within LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type C.","No. Measures to avoid harm would not be met for the primary isolated trenched pipeline crossing method if the construction timing occurs outside the LRBW."
"AB-125","W176.4","201.52","Unnamed tributary to January Creek/ 24423/ 3","Class C (unmapped)","11","566003","5938997","-116.0027068","53.59564679","Map","BRST and WHSC (BRST)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","July 2018 to October 2019","M","G","NA","Open","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Existing crossing","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted in LSA (breach may be needed if trenched construction is required). Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type C","No. Measures to avoid harm would not be met for the primary isolated trenched pipeline crossing method if the construction timing occurs outside the LRBW, and potential spawning habitat occurs within the PPC."
"AB-126","W177.4","201.64","Unnamed tributary to January Creek/ 24423/ 1","Class C (unmapped)","11","565884","5938993","-116.0045054","53.59562581","Map","BRST and WHSC (BRST)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","July 2018 to October 2019","M","G","NA","Open","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Existing crossing","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted in LSA (breach may be needed if trenched construction required). Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type C.","No. Measures to avoid harm would not be met for the primary isolated trenched pipeline crossing method if the construction timing occurs outside the LRBW."
"AB-128","W179.3","205.98","January Creek/ 853/ 2","Class C","11","561556","5938931","-116.0699031","53.59559471","Map","BRST (NRPK and BRST)","Low (Green)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","July 2018 to October 2019","M","G","NA","Open","Isolated trenched with fish salvage and water quality monitoring if inside RAP.","Open cut if dry or frozen to bottom","Clear span bridge","Class 2 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted within LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type D.","No. Measures to avoid harm would not be met for the primary isolated trenched pipeline crossing method if the construction timing occurs outside the LRBW."
"AB-129","W180.4","219.33","Wolf Creek/ 1943/ 5","Class C","11","548737","5938588","-116.2636289","53.59386057","Map","ARGR, MNWH, BURB, BKTR, NRPK, trout species (unidentified)., LKCH, LNDC, TRPR, WHSC and sucker species (unidentified) (ARGR, BURB, MNWH, NRPK, RNTR, WALL, FNDC, LKCH, LNDC, LNSC, PRDC, SPSC, TRPR and WHSC)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","July 2018 to October 2019","M","M","MF","Intact","Trenchless with water quality monitoring","Isolated trenched","Clear span bridge","Navigable","If trenched method is required as a contingency method inside the RAP, a site-specific bank reclamation or compensation/offset plan may be needed. Steep, erodible and unstable banks at the centre of the proposed pipeline corridor.","Comply with federal and provincial regulations.","Yes. However, measures to avoid harm will not be met for the contingency isolated trenched pipeline crossing method because the construction timing would occur outside the LRBW."
"AB-129a","W181.3","219.7","Unnamed Wetland/ 1943/ n/a","Wetland","11","548381","5938486","-116.2690231","53.59297679","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-130","W182.3","222.59","Unnamed NCD/ 20357/ 1","NCD","11","545569","5938184","-116.3115496","53.59051443","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-131","W183.3","222.73","McLeod River/ 2125/ 7","Class C","11","545439","5938228","-116.313507","53.59092118","Map","ARGR, MNWH, sucker species (unidentified), RNTR, NRPK, WALL and BURB (ARGR, BKTR, BLTR, BKTRXBLTR hybrid, BURB, MNWH, NRPK, RNTR, WALL, YLPR, GOLD, FNDC, LKCH, LNDC, LNSC, PRDC, SPSC, SPSH, TRPR, and WHSC)","High (Red)","September 1 to June 30","July 1 to August 31","Same as Provincial RAP.","July to August 2018 or 2019","M","M","MF","Patchy","Trenchless with water quality monitoring","Open Cut","Existing crossing","Navigable","If trenched method is required as a contingency method inside the RAP, a site-specific bank reclamation or compensation/offset plan may be needed. Steep, erodible and unstable banks at the centre of the proposed pipeline corridor.","Comply with federal and provincial regulations.","Yes. However, measures to avoid harm will not be met for the contingency open cut pipeline crossing, site isolation measures (e.g., silt boom or silt curtain) for containing suspended sediment where in-water work occurs are not proposed and spawning habitat occurs within the vicinity of the contingency trenched (open cut) location."
"AB-132","W184.5","226.4","Bench Creek/ 6895/ 3","Class C","11","541962","5938933","-116.3659391","53.59754754","Map","PRDC, BRST (MNWH, NRPK, NRDC, BRST, LKCH, LNSC, TRPR and WHSC)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","Winter (January to March) 2019","M","M","MF","Patchy","Isolated trenched with fish salvage and water quality monitoring","N/A","Clear span bridge","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted within LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type F.","No. Measures to avoid harm will not be met for the primary isolated trenched pipeline crossing method because the construction timing is outside the LRBW."
"AB-133","W185.4","230.31","Unnamed tributary to Bench Creek/ 470317/ 1","Class C (unmapped)","11","538179","5938825","-116.4231114","53.59686604","Map","None (none)","Low (Green)","September 1 to July 15","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","S","Shr","Intact","Isolated trenched","Open cut if dry or frozen to bottom","Clear span bridge or Type 3 culvert","Class 1 Non- Navigable","Discontinuous channel observed within LSA. Centre of the proposed pipeline corridor parallels watercourse.","Standard procedures and Type C.","Yes"
"AB-134","W186.3","231.17","Unnamed tributary to Bench Creek/ 470003/ 1","Class C (unmapped)","11","537328","5938788","-116.4359739","53.59659478","Map","None (none)","Low (Green)","September 1 to July 15","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","S","Shr","Intact","Isolated trenched","Open cut if dry or frozen to bottom","Clear span bridge or Type 3 culvert","Class 1 Non- Navigable","None.","Standard procedures and Type D.","Yes"
"AB-135","W187.5","233.27","Unnamed NCD/ 470669/ 1","NCD","11","535247","5938685","-116.4674279","53.59581307","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-136","W189.3","235.42","Bench Creek/ 6895/ 2","Class C","11","533263","5937942","-116.4974835","53.5892645","Map","BRST, PRDC, WHSC and FNDC (MNWH, NRPK, NRDC, BRST, LKCH, LNSC, TRPR, and WHSC)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","Winter (January to March) 2019","M","S","Shr","Intact","Isolated trenched with fish salvage and water quality monitoring","N/A","Clear span bridge","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted in LSA (breach may be needed if trenched construction is required). Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type D.","No. Measures to avoid harm will not be met for the primary isolated trenched pipeline crossing method because the construction timing is outside the LRBW."
